代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
000300.SH,沪深300,2024-01-02,3426.27,3426.27,3386.35,3386.35,-0.013,184096.1,11618072600.0
000300.SH,沪深300,2024-01-03,3379.75,3392.85,3362.66,3378.3,-0.0024,165099.02,10561385100.0
000300.SH,沪深300,2024-01-04,3375.02,3375.02,3323.86,3347.05,-0.0093,165512.26,10672101300.0
000300.SH,沪深300,2024-01-05,3341.31,3372.54,3313.55,3329.11,-0.0054,182251.67,12640057400.0
000300.SH,沪深300,2024-01-08,3322.61,3333.52,3283.34,3286.06,-0.0129,170761.65,11742948500.0
000300.SH,沪深300,2024-01-09,3286.71,3304.6,3273.84,3292.5,0.002,172276.32,10933046500.0
000300.SH,沪深300,2024-01-10,3281.67,3312.92,3268.25,3277.13,-0.0047,159777.65,9419936600.0
000300.SH,沪深300,2024-01-11,3275.31,3311.11,3266.79,3295.67,0.0057,180978.53,10878973500.0
000300.SH,沪深300,2024-01-12,3284.36,3310.47,3279.7,3284.17,-0.0035,156536.02,9685355500.0
000300.SH,沪深300,2024-01-15,3270.1,3306.92,3261.27,3280.92,-0.001,144331.72,8885153000.0
000300.SH,沪深300,2024-01-16,3272.57,3300.88,3260.44,3300.88,0.0061,175650.59,11327666500.0
000300.SH,沪深300,2024-01-17,3291.14,3291.14,3229.08,3229.08,-0.0218,173516.39,10876972800.0
000300.SH,沪深300,2024-01-18,3214.28,3279.25,3171.63,3274.73,0.0141,256784.54,17490916800.0
000300.SH,沪深300,2024-01-19,3261.24,3286.94,3251.81,3269.78,-0.0015,191261.81,11850140800.0
000300.SH,沪深300,2024-01-22,3262.47,3281.42,3193.18,3218.9,-0.0156,225510.03,14870562800.0
000300.SH,沪深300,2024-01-23,3208.43,3249.53,3188.13,3231.93,0.004,193791.17,12201200000.0
000300.SH,沪深300,2024-01-24,3245.96,3281.49,3190.47,3277.11,0.014,219036.34,15437195400.0
000300.SH,沪深300,2024-01-25,3274.34,3344.24,3269.79,3342.92,0.0201,265521.12,19683361400.0
000300.SH,沪深300,2024-01-26,3326.65,3351.97,3315.13,3333.82,-0.0027,238144.9,18066400500.0
000300.SH,沪深300,2024-01-29,3335.39,3351.37,3303.96,3303.96,-0.009,244698.01,18416479500.0
000300.SH,沪深300,2024-01-30,3283.9,3300.2,3244.97,3245.04,-0.0178,199592.93,14364935000.0
000300.SH,沪深300,2024-01-31,3231.54,3252.15,3201.93,3215.35,-0.0091,215333.35,15314346900.0
000300.SH,沪深300,2024-02-01,3202.26,3251.76,3191.9,3217.71,0.0007,203815.06,14551679200.0
000300.SH,沪深300,2024-02-02,3219.87,3235.41,3108.35,3179.63,-0.0118,234495.15,17375808900.0
000300.SH,沪深300,2024-02-05,3164.25,3233.85,3111.52,3200.42,0.0065,279713.14,20304297000.0
000300.SH,沪深300,2024-02-06,3185.25,3314.51,3182.82,3311.69,0.0348,285042.02,20271309900.0
000300.SH,沪深300,2024-02-07,3314.03,3343.63,3289.67,3343.63,0.0096,297997.67,21664793300.0
000300.SH,沪深300,2024-02-08,3351.41,3367.21,3336.98,3364.93,0.0064,270239.77,18997757800.0
000300.SH,沪深300,2024-02-19,3393.19,3403.81,3364.14,3403.81,0.0116,267674.15,18331980000.0
000300.SH,沪深300,2024-02-20,3395.19,3415.89,3380.1,3410.85,0.0021,218459.28,14073458100.0
000300.SH,沪深300,2024-02-21,3390.36,3500.13,3383.69,3456.87,0.0135,291823.55,18887936200.0
000300.SH,沪深300,2024-02-22,3450.35,3486.68,3448.41,3486.67,0.0086,225098.13,14102078400.0
000300.SH,沪深300,2024-02-23,3491.34,3507.56,3472.97,3489.74,0.0009,232926.06,14482127300.0
000300.SH,沪深300,2024-02-26,3485.54,3492.61,3445.39,3453.36,-0.0104,238951.64,15124833100.0
000300.SH,沪深300,2024-02-27,3440.05,3494.79,3437.44,3494.79,0.012,244488.72,13952824600.0
000300.SH,沪深300,2024-02-28,3499.83,3521.66,3450.26,3450.26,-0.0127,328300.59,18983754800.0
000300.SH,沪深300,2024-02-29,3437.9,3516.08,3437.9,3516.08,0.0191,281971.9,15594453200.0
000300.SH,沪深300,2024-03-01,3515.06,3544.36,3503.46,3537.8,0.0062,288575.62,16270957000.0
000300.SH,沪深300,2024-03-04,3538.37,3548.69,3519.76,3540.87,0.0009,297719.93,16324461300.0
000300.SH,沪深300,2024-03-05,3524.96,3570.69,3519.08,3565.51,0.007,299895.93,16642238900.0
000300.SH,沪深300,2024-03-06,3556.53,3577.39,3545.1,3551.05,-0.0041,248294.17,14307661300.0
000300.SH,沪深300,2024-03-07,3548.1,3569.92,3522.9,3529.72,-0.006,251839.53,14811051000.0
000300.SH,沪深300,2024-03-08,3529.55,3548.51,3511.58,3544.91,0.0043,225379.1,12579266400.0
000300.SH,沪深300,2024-03-11,3545.94,3589.26,3542.28,3589.26,0.0125,286418.58,14820282500.0
000300.SH,沪深300,2024-03-12,3592.58,3605.7,3574.21,3597.49,0.0023,339997.04,18068556000.0
000300.SH,沪深300,2024-03-13,3594.42,3594.42,3563.37,3572.36,-0.007,266898.76,14459059000.0
000300.SH,沪深300,2024-03-14,3571.79,3597.46,3545.61,3562.22,-0.0028,263803.61,14096272200.0
000300.SH,沪深300,2024-03-15,3554.91,3572.81,3533.68,3569.99,0.0022,243991.56,13831604400.0
000300.SH,沪深300,2024-03-18,3577.06,3604.05,3573.4,3603.53,0.0094,295314.84,16037943800.0
000300.SH,沪深300,2024-03-19,3593.34,3610.74,3577.19,3577.63,-0.0072,259553.45,14557178600.0
000300.SH,沪深300,2024-03-20,3568.72,3589.55,3568.43,3585.38,0.0022,223752.1,12952896600.0
000300.SH,沪深300,2024-03-21,3593.07,3601.11,3575.03,3581.09,-0.0012,233162.49,13074337700.0
000300.SH,沪深300,2024-03-22,3571.27,3575.72,3522.84,3545.0,-0.0101,248850.93,13922735800.0
000300.SH,沪深300,2024-03-25,3536.71,3564.96,3525.76,3525.76,-0.0054,233747.26,13701572400.0
000300.SH,沪深300,2024-03-26,3526.68,3547.65,3518.6,3543.75,0.0051,226730.74,12620953500.0
000300.SH,沪深300,2024-03-27,3538.72,3542.96,3502.79,3502.79,-0.0116,216404.73,12862676300.0
