代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
516320.OF,华夏中证装备产业ETF,2021-05-27,1.0,1.0,1.0,1.0,0.0,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-05-28,0.9995,0.9995,0.9995,0.9995,-0.0005,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-01,1.0021,1.0021,1.0021,1.0021,0.0026,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-04,0.9947,0.9947,0.9947,0.9947,-0.0074,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-07,0.9931,0.9931,0.9931,0.9931,-0.0016,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-08,0.9977,0.9977,0.9977,0.9977,0.0046,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-09,1.002,1.002,1.002,1.002,0.0043,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-10,1.021,1.021,1.021,1.021,0.019,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-11,1.0155,1.0155,1.0155,1.0155,-0.0054,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-15,1.0045,1.0045,1.0045,1.0045,-0.0108,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-16,0.975,0.975,0.975,0.975,-0.0294,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-17,0.9872,0.9872,0.9872,0.9872,0.0125,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-18,1.0105,1.0105,1.0105,1.0105,0.0236,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-21,1.0285,1.0285,1.0285,1.0285,0.0178,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-22,1.0322,1.0322,1.0322,1.0322,0.0036,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-23,1.0407,1.0407,1.0407,1.0407,0.0082,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-24,1.0472,1.0472,1.0472,1.0472,0.0062,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-25,1.061,1.061,1.061,1.061,0.0132,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-28,1.0685,1.0685,1.0685,1.0685,0.0071,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-29,1.0694,1.0694,1.0694,1.0694,0.0008,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-06-30,1.0858,1.0858,1.0858,1.0858,0.0153,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-01,1.0606,1.0606,1.0606,1.0606,-0.0232,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-02,1.04,1.04,1.04,1.04,-0.0194,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-05,1.0459,1.0459,1.0459,1.0459,0.0057,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-06,1.0413,1.0413,1.0413,1.0413,-0.0044,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-07,1.0796,1.0796,1.0796,1.0796,0.0368,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-08,1.0941,1.0941,1.0941,1.0941,0.0134,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-09,1.0999,1.0999,1.0999,1.0999,0.0053,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-12,1.1177,1.1177,1.1177,1.1177,0.0162,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-13,1.1165,1.1165,1.1165,1.1165,-0.0011,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-14,1.0947,1.0947,1.0947,1.0947,-0.0195,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-15,1.1161,1.1161,1.1161,1.1161,0.0195,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-16,1.1019,1.1019,1.1019,1.1019,-0.0127,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-19,1.0991,1.0991,1.0991,1.0991,-0.0025,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-20,1.1112,1.1112,1.1112,1.1112,0.011,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-21,1.1423,1.1423,1.1423,1.1423,0.028,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-22,1.1526,1.1526,1.1526,1.1526,0.009,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-23,1.1574,1.1574,1.1574,1.1574,0.0042,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-26,1.1432,1.1432,1.1432,1.1432,-0.0123,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-27,1.0952,1.0952,1.0952,1.0952,-0.042,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-28,1.0823,1.0823,1.0823,1.0823,-0.0118,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-29,1.1366,1.1366,1.1366,1.1366,0.0502,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-07-30,1.141,1.141,1.141,1.141,0.0039,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-02,1.179,1.179,1.179,1.179,0.0333,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-03,1.1573,1.1573,1.1573,1.1573,-0.0184,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-04,1.2142,1.2142,1.2142,1.2142,0.0492,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-05,1.2227,1.2227,1.2227,1.2227,0.007,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-06,1.2278,1.2278,1.2278,1.2278,0.0042,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-09,1.2195,1.2195,1.2195,1.2195,-0.0068,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-10,1.2291,1.2291,1.2291,1.2291,0.0079,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-11,1.2309,1.2309,1.2309,1.2309,0.0015,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-12,1.2123,1.2123,1.2123,1.2123,-0.0151,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-13,1.2054,1.2054,1.2054,1.2054,-0.0057,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-16,1.1846,1.1846,1.1846,1.1846,-0.0173,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-17,1.1694,1.1694,1.1694,1.1694,-0.0128,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-18,1.1675,1.1675,1.1675,1.1675,-0.0016,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-19,1.1733,1.1733,1.1733,1.1733,0.005,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-20,1.1668,1.1668,1.1668,1.1668,-0.0055,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-23,1.2004,1.2004,1.2004,1.2004,0.0288,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-24,1.2116,1.2116,1.2116,1.2116,0.0093,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-25,1.2282,1.2282,1.2282,1.2282,0.0137,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-26,1.215,1.215,1.215,1.215,-0.0107,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-27,1.239,1.239,1.239,1.239,0.0198,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-30,1.2693,1.2693,1.2693,1.2693,0.0245,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-08-31,1.2588,1.2588,1.2588,1.2588,-0.0083,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-01,1.2253,1.2253,1.2253,1.2253,-0.0266,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-02,1.254,1.254,1.254,1.254,0.0234,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-03,1.2159,1.2159,1.2159,1.2159,-0.0304,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-06,1.2232,1.2232,1.2232,1.2232,0.006,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-07,1.2437,1.2437,1.2437,1.2437,0.0168,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-08,1.2208,1.2208,1.2208,1.2208,-0.0184,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-09,1.2295,1.2295,1.2295,1.2295,0.0071,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-10,1.2319,1.2319,1.2319,1.2319,0.002,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-13,1.2058,1.2058,1.2058,1.2058,-0.0212,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-14,1.2014,1.2014,1.2014,1.2014,-0.0036,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-15,1.2184,1.2184,1.2184,1.2184,0.0142,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-16,1.1803,1.1803,1.1803,1.1803,-0.0313,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-17,1.1751,1.1751,1.1751,1.1751,-0.0044,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-22,1.1834,1.1834,1.1834,1.1834,0.0071,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-23,1.1957,1.1957,1.1957,1.1957,0.0104,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-24,1.1957,1.1957,1.1957,1.1957,0.0,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-27,1.1793,1.1793,1.1793,1.1793,-0.0137,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-28,1.1745,1.1745,1.1745,1.1745,-0.0041,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-29,1.1553,1.1553,1.1553,1.1553,-0.0163,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-09-30,1.1749,1.1749,1.1749,1.1749,0.017,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-08,1.1646,1.1646,1.1646,1.1646,-0.0088,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-11,1.1565,1.1565,1.1565,1.1565,-0.007,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-12,1.1345,1.1345,1.1345,1.1345,-0.019,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-13,1.1617,1.1617,1.1617,1.1617,0.024,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-14,1.1748,1.1748,1.1748,1.1748,0.0113,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-15,1.1923,1.1923,1.1923,1.1923,0.0149,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-18,1.2081,1.2081,1.2081,1.2081,0.0133,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-19,1.2108,1.2108,1.2108,1.2108,0.0022,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-20,1.2238,1.2238,1.2238,1.2238,0.0107,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-21,1.2089,1.2089,1.2089,1.2089,-0.0122,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-22,1.2037,1.2037,1.2037,1.2037,-0.0043,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-25,1.2428,1.2428,1.2428,1.2428,0.0325,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-26,1.2359,1.2359,1.2359,1.2359,-0.0056,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-27,1.2445,1.2445,1.2445,1.2445,0.007,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-28,1.2282,1.2282,1.2282,1.2282,-0.0131,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-10-29,1.2517,1.2517,1.2517,1.2517,0.0191,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-11-01,1.2467,1.2467,1.2467,1.2467,-0.004,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-11-02,1.2452,1.2452,1.2452,1.2452,-0.0012,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-11-03,1.2238,1.2238,1.2238,1.2238,-0.0172,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-11-04,1.2443,1.2443,1.2443,1.2443,0.0168,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-11-05,1.2303,1.2303,1.2303,1.2303,-0.0113,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-11-08,1.2511,1.2511,1.2511,1.2511,0.0169,0.0,0.0
516320.OF,华夏中证装备产业ETF,2021-11-09,1.2631,1.2631,1.2631,1.2631,0.0096,0.0,0.0
