代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
512010.OF,易方达沪深300医药卫生ETF,2024-01-02,0.4069,0.4069,0.4069,0.4069,-0.0112,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-03,0.4053,0.4053,0.4053,0.4053,-0.0039,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-04,0.4011,0.4011,0.4011,0.4011,-0.0104,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-05,0.3936,0.3936,0.3936,0.3936,-0.0187,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-08,0.3891,0.3891,0.3891,0.3891,-0.0114,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-09,0.3897,0.3897,0.3897,0.3897,0.0015,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-10,0.3865,0.3865,0.3865,0.3865,-0.0082,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-11,0.3901,0.3901,0.3901,0.3901,0.0093,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-12,0.3848,0.3848,0.3848,0.3848,-0.0136,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-15,0.3852,0.3852,0.3852,0.3852,0.001,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-16,0.385,0.385,0.385,0.385,-0.0005,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-17,0.3755,0.3755,0.3755,0.3755,-0.0247,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-18,0.3818,0.3818,0.3818,0.3818,0.0168,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-19,0.382,0.382,0.382,0.382,0.0005,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-22,0.3746,0.3746,0.3746,0.3746,-0.0194,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-23,0.3756,0.3756,0.3756,0.3756,0.0027,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-24,0.3788,0.3788,0.3788,0.3788,0.0085,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-25,0.3822,0.3822,0.3822,0.3822,0.009,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-26,0.3726,0.3726,0.3726,0.3726,-0.0251,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-29,0.3611,0.3611,0.3611,0.3611,-0.0309,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-30,0.353,0.353,0.353,0.353,-0.0224,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-01-31,0.3418,0.3418,0.3418,0.3418,-0.0317,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-01,0.3444,0.3444,0.3444,0.3444,0.0076,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-02,0.3339,0.3339,0.3339,0.3339,-0.0305,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-05,0.341,0.341,0.341,0.341,0.0213,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-06,0.3629,0.3629,0.3629,0.3629,0.0642,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-07,0.3704,0.3704,0.3704,0.3704,0.0207,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-08,0.3691,0.3691,0.3691,0.3691,-0.0035,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-19,0.3687,0.3687,0.3687,0.3687,-0.0011,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-20,0.3712,0.3712,0.3712,0.3712,0.0068,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-21,0.3746,0.3746,0.3746,0.3746,0.0092,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-22,0.375,0.375,0.375,0.375,0.0011,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-23,0.3741,0.3741,0.3741,0.3741,-0.0024,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-26,0.3734,0.3734,0.3734,0.3734,-0.0019,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-27,0.3768,0.3768,0.3768,0.3768,0.0091,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-28,0.3725,0.3725,0.3725,0.3725,-0.0114,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-02-29,0.3783,0.3783,0.3783,0.3783,0.0156,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-01,0.3781,0.3781,0.3781,0.3781,-0.0005,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-04,0.3862,0.3862,0.3862,0.3862,0.0214,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-05,0.3863,0.3863,0.3863,0.3863,0.0003,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-06,0.3838,0.3838,0.3838,0.3838,-0.0065,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-07,0.3711,0.3711,0.3711,0.3711,-0.0331,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-08,0.3696,0.3696,0.3696,0.3696,-0.004,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-11,0.3801,0.3801,0.3801,0.3801,0.0284,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-12,0.3893,0.3893,0.3893,0.3893,0.0242,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-13,0.3854,0.3854,0.3854,0.3854,-0.01,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-14,0.3864,0.3864,0.3864,0.3864,0.0026,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-15,0.3833,0.3833,0.3833,0.3833,-0.008,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-18,0.3855,0.3855,0.3855,0.3855,0.0057,0.0,0.0
512010.OF,易方达沪深300医药卫生ETF,2024-03-19,0.3805,0.3805,0.3805,0.3805,-0.013,0.0,0.0
