代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
512200.OF,南方中证全指房地产ETF,2017-08-25,2.7928,2.7928,2.7928,2.7928,0.0,0,0
512200.OF,南方中证全指房地产ETF,2017-09-01,2.7942,2.7942,2.7942,2.7942,0.0005,0,0
512200.OF,南方中证全指房地产ETF,2017-09-08,2.7962,2.7962,2.7962,2.7962,0.0007,0,0
512200.OF,南方中证全指房地产ETF,2017-09-15,2.8163,2.8163,2.8163,2.8163,0.0072,0,0
512200.OF,南方中证全指房地产ETF,2017-09-18,2.8127,2.8127,2.8127,2.8127,-0.0013,0,0
512200.OF,南方中证全指房地产ETF,2017-09-22,2.7688,2.7688,2.7688,2.7688,-0.0156,0,0
512200.OF,南方中证全指房地产ETF,2017-09-25,2.6604,2.6604,2.6604,2.6604,-0.0391,0,0
512200.OF,南方中证全指房地产ETF,2017-09-26,2.6761,2.6761,2.6761,2.6761,0.0059,0,0
512200.OF,南方中证全指房地产ETF,2017-09-27,2.6945,2.6945,2.6945,2.6945,0.0069,0,0
512200.OF,南方中证全指房地产ETF,2017-09-28,2.6537,2.6537,2.6537,2.6537,-0.0151,0,0
512200.OF,南方中证全指房地产ETF,2017-09-29,2.6596,2.6596,2.6596,2.6596,0.0022,0,0
512200.OF,南方中证全指房地产ETF,2017-10-09,2.6831,2.6831,2.6831,2.6831,0.0088,0,0
512200.OF,南方中证全指房地产ETF,2017-10-10,2.685,2.685,2.685,2.685,0.0007,0,0
512200.OF,南方中证全指房地产ETF,2017-10-11,2.6811,2.6811,2.6811,2.6811,-0.0015,0,0
512200.OF,南方中证全指房地产ETF,2017-10-12,2.6713,2.6713,2.6713,2.6713,-0.0036,0,0
512200.OF,南方中证全指房地产ETF,2017-10-13,2.6739,2.6739,2.6739,2.6739,0.0009,0,0
512200.OF,南方中证全指房地产ETF,2017-10-16,2.6322,2.6322,2.6322,2.6322,-0.0156,0,0
512200.OF,南方中证全指房地产ETF,2017-10-17,2.6375,2.6375,2.6375,2.6375,0.002,0,0
512200.OF,南方中证全指房地产ETF,2017-10-18,2.6334,2.6334,2.6334,2.6334,-0.0016,0,0
512200.OF,南方中证全指房地产ETF,2017-10-19,2.6088,2.6088,2.6088,2.6088,-0.0093,0,0
512200.OF,南方中证全指房地产ETF,2017-10-20,2.6403,2.6403,2.6403,2.6403,0.0121,0,0
512200.OF,南方中证全指房地产ETF,2017-10-23,2.6448,2.6448,2.6448,2.6448,0.0017,0,0
512200.OF,南方中证全指房地产ETF,2017-10-24,2.6764,2.6764,2.6764,2.6764,0.0119,0,0
512200.OF,南方中证全指房地产ETF,2017-10-25,2.6912,2.6912,2.6912,2.6912,0.0055,0,0
512200.OF,南方中证全指房地产ETF,2017-10-26,2.6847,2.6847,2.6847,2.6847,-0.0024,0,0
512200.OF,南方中证全指房地产ETF,2017-10-27,2.6741,2.6741,2.6741,2.6741,-0.004,0,0
512200.OF,南方中证全指房地产ETF,2017-10-30,2.6616,2.6616,2.6616,2.6616,-0.0047,0,0
512200.OF,南方中证全指房地产ETF,2017-10-31,2.6775,2.6775,2.6775,2.6775,0.006,0,0
512200.OF,南方中证全指房地产ETF,2017-11-01,2.6775,2.6775,2.6775,2.6775,0.0,0,0
512200.OF,南方中证全指房地产ETF,2017-11-02,2.6669,2.6669,2.6669,2.6669,-0.004,0,0
512200.OF,南方中证全指房地产ETF,2017-11-03,2.6297,2.6297,2.6297,2.6297,-0.0139,0,0
512200.OF,南方中证全指房地产ETF,2017-11-06,2.6102,2.6102,2.6102,2.6102,-0.0074,0,0
512200.OF,南方中证全指房地产ETF,2017-11-07,2.6272,2.6272,2.6272,2.6272,0.0065,0,0
512200.OF,南方中证全指房地产ETF,2017-11-08,2.6317,2.6317,2.6317,2.6317,0.0017,0,0
512200.OF,南方中证全指房地产ETF,2017-11-09,2.6445,2.6445,2.6445,2.6445,0.0049,0,0
512200.OF,南方中证全指房地产ETF,2017-11-10,2.6303,2.6303,2.6303,2.6303,-0.0054,0,0
512200.OF,南方中证全指房地产ETF,2017-11-13,2.6258,2.6258,2.6258,2.6258,-0.0017,0,0
512200.OF,南方中证全指房地产ETF,2017-11-14,2.6462,2.6462,2.6462,2.6462,0.0078,0,0
512200.OF,南方中证全指房地产ETF,2017-11-15,2.6462,2.6462,2.6462,2.6462,0.0,0,0
512200.OF,南方中证全指房地产ETF,2017-11-16,2.6775,2.6775,2.6775,2.6775,0.0118,0,0
512200.OF,南方中证全指房地产ETF,2017-11-17,2.6571,2.6571,2.6571,2.6571,-0.0076,0,0
512200.OF,南方中证全指房地产ETF,2017-11-20,2.6523,2.6523,2.6523,2.6523,-0.0018,0,0
512200.OF,南方中证全指房地产ETF,2017-11-21,2.7222,2.7222,2.7222,2.7222,0.0263,0,0
512200.OF,南方中证全指房地产ETF,2017-11-22,2.735,2.735,2.735,2.735,0.0047,0,0
512200.OF,南方中证全指房地产ETF,2017-11-23,2.6764,2.6764,2.6764,2.6764,-0.0214,0,0
512200.OF,南方中证全指房地产ETF,2017-11-24,2.6979,2.6979,2.6979,2.6979,0.008,0,0
512200.OF,南方中证全指房地产ETF,2017-11-27,2.678,2.678,2.678,2.678,-0.0073,0,0
512200.OF,南方中证全指房地产ETF,2017-11-28,2.6669,2.6669,2.6669,2.6669,-0.0042,0,0
512200.OF,南方中证全指房地产ETF,2017-11-29,2.7761,2.7761,2.7761,2.7761,0.0409,0,0
512200.OF,南方中证全指房地产ETF,2017-11-30,2.7035,2.7035,2.7035,2.7035,-0.0262,0,0
512200.OF,南方中证全指房地产ETF,2017-12-01,2.7074,2.7074,2.7074,2.7074,0.0014,0,0
512200.OF,南方中证全指房地产ETF,2017-12-04,2.6881,2.6881,2.6881,2.6881,-0.0071,0,0
512200.OF,南方中证全指房地产ETF,2017-12-05,2.6741,2.6741,2.6741,2.6741,-0.0052,0,0
512200.OF,南方中证全指房地产ETF,2017-12-06,2.6711,2.6711,2.6711,2.6711,-0.0011,0,0
512200.OF,南方中证全指房地产ETF,2017-12-07,2.6669,2.6669,2.6669,2.6669,-0.0016,0,0
512200.OF,南方中证全指房地产ETF,2017-12-08,2.6691,2.6691,2.6691,2.6691,0.0008,0,0
512200.OF,南方中证全指房地产ETF,2017-12-11,2.6847,2.6847,2.6847,2.6847,0.0059,0,0
512200.OF,南方中证全指房地产ETF,2017-12-12,2.6705,2.6705,2.6705,2.6705,-0.0053,0,0
512200.OF,南方中证全指房地产ETF,2017-12-13,2.675,2.675,2.675,2.675,0.0017,0,0
512200.OF,南方中证全指房地产ETF,2017-12-14,2.6697,2.6697,2.6697,2.6697,-0.002,0,0
512200.OF,南方中证全指房地产ETF,2017-12-15,2.6401,2.6401,2.6401,2.6401,-0.0111,0,0
512200.OF,南方中证全指房地产ETF,2017-12-18,2.6191,2.6191,2.6191,2.6191,-0.0079,0,0
512200.OF,南方中证全指房地产ETF,2017-12-19,2.6415,2.6415,2.6415,2.6415,0.0085,0,0
512200.OF,南方中证全指房地产ETF,2017-12-20,2.613,2.613,2.613,2.613,-0.0108,0,0
512200.OF,南方中证全指房地产ETF,2017-12-21,2.6549,2.6549,2.6549,2.6549,0.016,0,0
512200.OF,南方中证全指房地产ETF,2017-12-22,2.6521,2.6521,2.6521,2.6521,-0.0011,0,0
512200.OF,南方中证全指房地产ETF,2017-12-25,2.6699,2.6699,2.6699,2.6699,0.0067,0,0
512200.OF,南方中证全指房地产ETF,2017-12-26,2.682,2.682,2.682,2.682,0.0045,0,0
512200.OF,南方中证全指房地产ETF,2017-12-27,2.6736,2.6736,2.6736,2.6736,-0.0031,0,0
512200.OF,南方中证全指房地产ETF,2017-12-28,2.6727,2.6727,2.6727,2.6727,-0.0003,0,0
512200.OF,南方中证全指房地产ETF,2017-12-29,2.709,2.709,2.709,2.709,0.0136,0,0
512200.OF,南方中证全指房地产ETF,2017-12-31,2.7088,2.7088,2.7088,2.7088,-0.0001,0,0
512200.OF,南方中证全指房地产ETF,2018-01-02,2.7783,2.7783,2.7783,2.7783,0.0257,0,0
512200.OF,南方中证全指房地产ETF,2018-01-03,2.7965,2.7965,2.7965,2.7965,0.0065,0,0
512200.OF,南方中证全指房地产ETF,2018-01-04,2.8143,2.8143,2.8143,2.8143,0.0064,0,0
512200.OF,南方中证全指房地产ETF,2018-01-05,2.9118,2.9118,2.9118,2.9118,0.0346,0,0
