period,industry,S_adjusted
2024-01-01,传统能源,0.0
2024-01-01,化工,0.0
2024-01-01,医药,0.0
2024-01-01,半导体与信息技术,0.0
2024-01-01,房地产,0.0
2024-01-01,旅游,0.0
2024-01-01,消费,0.0
2024-01-01,电动车新能源,0.0
2024-01-01,金融,0.0
2024-01-01,高端装备,0.0
2024-01-02,传统能源,0.0
2024-01-02,化工,0.0
2024-01-02,医药,-4.440892098500626e-16
2024-01-02,半导体与信息技术,0.0
2024-01-02,房地产,0.0
2024-01-02,旅游,0.0
2024-01-02,消费,-4.440892098500626e-16
2024-01-02,电动车新能源,0.0
2024-01-02,金融,0.0
2024-01-02,高端装备,0.0
2024-01-03,传统能源,-1.1102230246251565e-16
2024-01-03,化工,0.0
2024-01-03,医药,4.440892098500626e-16
2024-01-03,半导体与信息技术,4.440892098500626e-16
2024-01-03,房地产,0.0
2024-01-03,旅游,-6.661338147750939e-16
2024-01-03,消费,-6.661338147750939e-16
2024-01-03,电动车新能源,0.0
2024-01-03,金融,0.0
2024-01-03,高端装备,0.0
2024-01-04,传统能源,0.0
2024-01-04,化工,0.0
2024-01-04,医药,0.0
2024-01-04,半导体与信息技术,0.0
2024-01-04,房地产,0.0
2024-01-04,旅游,0.0
2024-01-04,消费,0.0
2024-01-04,电动车新能源,0.0
2024-01-04,金融,0.0
2024-01-04,高端装备,0.0
2024-01-05,传统能源,-2.220446049250313e-16
2024-01-05,化工,2.220446049250313e-16
2024-01-05,医药,2.220446049250313e-16
2024-01-05,半导体与信息技术,2.220446049250313e-16
2024-01-05,房地产,2.220446049250313e-16
2024-01-05,旅游,2.220446049250313e-16
2024-01-05,消费,0.0
2024-01-05,电动车新能源,2.220446049250313e-16
2024-01-05,金融,0.0
2024-01-05,高端装备,2.220446049250313e-16
2024-01-07,传统能源,0.0
2024-01-07,化工,0.0
2024-01-07,医药,0.0
2024-01-07,半导体与信息技术,0.0
2024-01-07,房地产,0.0
2024-01-07,旅游,0.0
2024-01-07,消费,0.0
2024-01-07,电动车新能源,0.0
2024-01-07,金融,0.0
2024-01-07,高端装备,0.0
2024-01-08,传统能源,0.0
2024-01-08,化工,0.0
2024-01-08,医药,0.0
2024-01-08,半导体与信息技术,0.0
2024-01-08,房地产,0.0
2024-01-08,旅游,0.0
2024-01-08,消费,0.0
2024-01-08,电动车新能源,0.0
2024-01-08,金融,0.0
2024-01-08,高端装备,0.0
2024-01-09,传统能源,-3.58
2024-01-09,化工,0.0
2024-01-09,医药,0.0
2024-01-09,半导体与信息技术,3.58
2024-01-09,房地产,3.58
2024-01-09,旅游,6.200741891096582
2024-01-09,消费,6.200741891096582
2024-01-09,电动车新能源,0.0
2024-01-09,金融,3.58
2024-01-09,高端装备,3.58
2024-01-10,传统能源,1.7388849982207077
2024-01-10,化工,11.19748734097623
2024-01-10,医药,-0.9389096456802015
2024-01-10,半导体与信息技术,9.89545392923481
2024-01-10,房地产,5.948391993830472
2024-01-10,旅游,13.657827788275124
2024-01-10,消费,13.354318874154252
2024-01-10,电动车新能源,11.197487340976226
2024-01-10,金融,13.657827788275123
2024-01-10,高端装备,15.627566348546189
2024-01-11,传统能源,0.0
2024-01-11,化工,2.53144227664784
2024-01-11,医药,2.53144227664784
2024-01-11,半导体与信息技术,2.53144227664784
2024-01-11,房地产,2.53144227664784
2024-01-11,旅游,0.0
2024-01-11,消费,0.0
2024-01-11,电动车新能源,2.53144227664784
2024-01-11,金融,2.53144227664784
2024-01-11,高端装备,2.53144227664784
2024-01-12,传统能源,-1.3531128133730337
2024-01-12,化工,-2.0962333566934492
2024-01-12,医药,-2.0962333566934492
2024-01-12,半导体与信息技术,0.0
2024-01-12,房地产,-1.3531128133730335
2024-01-12,旅游,-5.240583391733626
2024-01-12,消费,-5.240583391733626
2024-01-12,电动车新能源,-2.096233356693449
2024-01-12,金融,-5.240583391733622
2024-01-12,高端装备,-3.8271809841859152
2024-01-13,传统能源,1.79
2024-01-13,化工,0.0
2024-01-13,医药,0.0
2024-01-13,半导体与信息技术,0.0
2024-01-13,房地产,0.0
2024-01-13,旅游,0.0
2024-01-13,消费,-3.1003709455482906
2024-01-13,电动车新能源,0.0
2024-01-13,金融,-1.79
2024-01-13,高端装备,-1.79
2024-01-14,传统能源,0.0
2024-01-14,化工,0.0
2024-01-14,医药,0.0
2024-01-14,半导体与信息技术,0.0
2024-01-14,房地产,0.0
2024-01-14,旅游,0.0
2024-01-14,消费,0.0
2024-01-14,电动车新能源,0.0
2024-01-14,金融,0.0
2024-01-14,高端装备,0.0
2024-01-15,传统能源,-2.220446049250313e-16
2024-01-15,化工,2.220446049250313e-16
2024-01-15,医药,0.0
2024-01-15,半导体与信息技术,2.220446049250313e-16
2024-01-15,房地产,2.220446049250313e-16
2024-01-15,旅游,2.220446049250313e-16
2024-01-15,消费,2.220446049250313e-16
2024-01-15,电动车新能源,2.220446049250313e-16
2024-01-15,金融,2.220446049250313e-16
2024-01-15,高端装备,2.220446049250313e-16
2024-01-16,传统能源,0.0
2024-01-16,化工,0.0
2024-01-16,医药,0.0
2024-01-16,半导体与信息技术,0.0
2024-01-16,房地产,0.0
2024-01-16,旅游,0.0
2024-01-16,消费,0.0
2024-01-16,电动车新能源,0.0
2024-01-16,金融,0.0
2024-01-16,高端装备,0.0
2024-01-17,传统能源,0.0
2024-01-17,化工,0.0
2024-01-17,医药,0.0
2024-01-17,半导体与信息技术,0.0
2024-01-17,房地产,0.0
2024-01-17,旅游,0.0
2024-01-17,消费,0.0
2024-01-17,电动车新能源,0.0
2024-01-17,金融,0.0
2024-01-17,高端装备,0.0
2024-01-18,传统能源,-4.323260729279849
2024-01-18,化工,1.9334209750250122
2024-01-18,医药,-4.323260729279848
2024-01-18,半导体与信息技术,2.59395643756791
2024-01-18,房地产,3.3487833611626776
2024-01-18,旅游,1.2657211383239197
2024-01-18,消费,0.0
2024-01-18,电动车新能源,1.9334209750250122
2024-01-18,金融,1.2657211383239195
2024-01-18,高端装备,1.9334209750250122
2024-01-19,传统能源,-3.382782033432585
2024-01-19,化工,-3.8271809841859152
2024-01-19,医药,-2.8703857381394373
2024-01-19,半导体与信息技术,-2.0962333566934497
2024-01-19,房地产,-6.200741891096581
2024-01-19,旅游,2.870385738139439
2024-01-19,消费,2.870385738139439
2024-01-19,电动车新能源,3.827180984185917
2024-01-19,金融,2.870385738139439
2024-01-19,高端装备,2.870385738139439
2024-01-20,传统能源,2.6144623411579944
2024-01-20,化工,-2.401537007834774
2024-01-20,医药,-3.4231347371337026
2024-01-20,半导体与信息技术,-2.6144623411579926
2024-01-20,房地产,-3.9216935117369878
2024-01-20,旅游,-3.9216935117369878
2024-01-20,消费,-2.401537007834774
2024-01-20,电动车新能源,-1.601024671889851
2024-01-20,金融,-1.601024671889851
2024-01-20,高端装备,0.0
2024-01-22,传统能源,5.228924682315984
2024-01-22,化工,5.990485789983981
2024-01-22,医药,0.0
2024-01-22,半导体与信息技术,0.0
2024-01-22,房地产,3.2020493437796986
2024-01-22,旅游,1.307231170578997
2024-01-22,消费,-1.3072311705789974
2024-01-22,电动车新能源,-1.3072311705789974
2024-01-22,金融,-1.3072311705789974
2024-01-22,高端装备,-1.3072311705789974
2024-01-23,传统能源,0.0
2024-01-23,化工,0.0
2024-01-23,医药,0.0
2024-01-23,半导体与信息技术,0.0
2024-01-23,房地产,0.0
2024-01-23,旅游,0.0
2024-01-23,消费,0.0
2024-01-23,电动车新能源,0.0
2024-01-23,金融,0.0
2024-01-23,高端装备,0.0
2024-01-24,传统能源,-4.621760126474184
2024-01-24,化工,-5.8461155194425185
2024-01-24,医药,-1.4615288798606296
2024-01-24,半导体与信息技术,-1.4615288798606296
2024-01-24,房地产,-2.310880063237091
2024-01-24,旅游,-3.268077926447491
2024-01-24,消费,-3.268077926447491
2024-01-24,电动车新能源,-3.268077926447491
2024-01-24,金融,-6.4183776321256945
2024-01-24,高端装备,-3.268077926447491
2024-01-25,传统能源,-5.37
2024-01-25,化工,3.1003709455482906
2024-01-25,医药,-1.79
2024-01-25,半导体与信息技术,5.37
2024-01-25,房地产,5.37
2024-01-25,旅游,3.1003709455482906
2024-01-25,消费,0.0
2024-01-25,电动车新能源,5.37
2024-01-25,金融,5.37
2024-01-25,高端装备,3.1003709455482906
2024-01-26,传统能源,1.79
2024-01-26,化工,-2.804391037446292
2024-01-26,医药,-1.79
2024-01-26,半导体与信息技术,-1.79
2024-01-26,房地产,-3.1003709455482906
2024-01-26,旅游,3.1003709455482906
2024-01-26,消费,-3.1003709455482906
2024-01-26,电动车新能源,-1.79
2024-01-26,金融,-3.1003709455482906
2024-01-26,高端装备,-1.79
2024-01-27,传统能源,0.0
2024-01-27,化工,0.0
2024-01-27,医药,0.0
2024-01-27,半导体与信息技术,0.0
2024-01-27,房地产,0.0
2024-01-27,旅游,0.0
2024-01-27,消费,0.0
2024-01-27,电动车新能源,0.0
2024-01-27,金融,0.0
2024-01-27,高端装备,0.0
2024-01-29,传统能源,0.0
2024-01-29,化工,0.0
2024-01-29,医药,0.0
2024-01-29,半导体与信息技术,0.0
2024-01-29,房地产,0.0
2024-01-29,旅游,0.0
2024-01-29,消费,0.0
2024-01-29,电动车新能源,0.0
2024-01-29,金融,0.0
2024-01-29,高端装备,0.0
2024-01-30,传统能源,-3.3478148048557497
2024-01-30,化工,12.206893746775018
2024-01-30,医药,15.391300811151105
2024-01-30,半导体与信息技术,11.964502882726435
2024-01-30,房地产,5.5977583871134495
2024-01-30,旅游,12.206893746775018
2024-01-30,消费,9.245297682106791
2024-01-30,电动车新能源,8.598881859333176
2024-01-30,金融,9.245297682106784
2024-01-30,高端装备,12.206893746775018
2024-01-31,传统能源,-6.765564066865167
2024-01-31,化工,0.9567952460464796
2024-01-31,医药,6.765564066865167
2024-01-31,半导体与信息技术,-4.1924667133868985
2024-01-31,房地产,-6.200741891096581
2024-01-31,旅游,7.654361968371834
2024-01-31,消费,0.9567952460464796
2024-01-31,电动车新能源,-4.1924667133868985
2024-01-31,金融,-0.9567952460464785
2024-01-31,高端装备,0.9567952460464796
2024-02-01,传统能源,0.0
2024-02-01,化工,-2.7755575615628914e-16
2024-02-01,医药,0.0
2024-02-01,半导体与信息技术,0.0
2024-02-01,房地产,0.0
2024-02-01,旅游,1.1102230246251565e-16
2024-02-01,消费,1.1102230246251565e-15
2024-02-01,电动车新能源,0.0
2024-02-01,金融,3.3306690738754696e-16
2024-02-01,高端装备,3.3306690738754696e-16
2024-02-02,传统能源,0.0
2024-02-02,化工,0.0
2024-02-02,医药,0.0
2024-02-02,半导体与信息技术,0.0
2024-02-02,房地产,0.0
2024-02-02,旅游,0.0
2024-02-02,消费,0.0
2024-02-02,电动车新能源,0.0
2024-02-02,金融,0.0
2024-02-02,高端装备,0.0
2024-02-03,传统能源,0.0
2024-02-03,化工,0.0
2024-02-03,医药,0.0
2024-02-03,半导体与信息技术,0.0
2024-02-03,房地产,0.0
2024-02-03,旅游,0.0
2024-02-03,消费,0.0
2024-02-03,电动车新能源,0.0
2024-02-03,金融,0.0
2024-02-03,高端装备,0.0
2024-02-04,传统能源,-4.440892098500626e-16
2024-02-04,化工,-1.1102230246251565e-16
2024-02-04,医药,0.0
2024-02-04,半导体与信息技术,4.440892098500626e-16
2024-02-04,房地产,3.3306690738754696e-16
2024-02-04,旅游,0.0
2024-02-04,消费,-4.440892098500626e-16
2024-02-04,电动车新能源,-1.1102230246251565e-16
2024-02-04,金融,-4.440892098500626e-16
2024-02-04,高端装备,-1.1102230246251565e-16
2024-02-05,传统能源,-3.423134737133703
2024-02-05,化工,-5.603586351614474
2024-02-05,医药,-1.601024671889849
2024-02-05,半导体与信息技术,1.6010246718898489
2024-02-05,房地产,0.0
2024-02-05,旅游,3.9216935117369895
2024-02-05,消费,2.6144623411579926
2024-02-05,电动车新能源,3.921693511736989
2024-02-05,金融,1.6010246718898489
2024-02-05,高端装备,1.6010246718898489
2024-02-06,传统能源,-4.621760126474184
2024-02-06,化工,3.268077926447491
2024-02-06,医药,-2.310880063237091
2024-02-06,半导体与信息技术,3.268077926447491
2024-02-06,房地产,2.310880063237092
2024-02-06,旅游,2.310880063237092
2024-02-06,消费,0.0
2024-02-06,电动车新能源,4.621760126474184
2024-02-06,金融,1.4615288798606285
2024-02-06,高端装备,3.268077926447491
2024-02-07,传统能源,-5.574052440196507
2024-02-07,化工,4.857347761147772
2024-02-07,医药,7.24090652285522
2024-02-07,半导体与信息技术,5.574052440196508
2024-02-07,房地产,5.574052440196506
2024-02-07,旅游,4.515498563030141
2024-02-07,消费,2.0902696650736887
2024-02-07,电动车新能源,7.240906522855221
2024-02-07,金融,2.3667643369320537
2024-02-07,高端装备,4.515498563030141
2024-02-08,传统能源,-3.3306690738754696e-16
2024-02-08,化工,2.7755575615628914e-16
2024-02-08,医药,1.1102230246251565e-16
2024-02-08,半导体与信息技术,3.3306690738754696e-16
2024-02-08,房地产,0.0
2024-02-08,旅游,0.0
2024-02-08,消费,8.881784197001252e-16
2024-02-08,电动车新能源,4.440892098500626e-16
2024-02-08,金融,7.771561172376096e-16
2024-02-08,高端装备,0.0
2024-02-09,传统能源,-4.13382792739772
2024-02-09,化工,4.1338279273977205
2024-02-09,医药,2.0669139636988607
2024-02-09,半导体与信息技术,2.0669139636988607
2024-02-09,房地产,2.0669139636988607
2024-02-09,旅游,2.0669139636988607
2024-02-09,消费,4.1338279273977205
2024-02-09,电动车新能源,2.0669139636988607
2024-02-09,金融,-2.0669139636988594
2024-02-09,高端装备,-2.0669139636988594
2024-02-10,传统能源,0.0
2024-02-10,化工,2.317473172393134
2024-02-10,医药,-2.42367145738306
2024-02-10,半导体与信息技术,12.26291536843232
2024-02-10,房地产,8.267655854795443
2024-02-10,旅游,-6.855178091535381
2024-02-10,消费,-9.269892689572544
2024-02-10,电动车新能源,7.9156778329815545
2024-02-10,金融,6.855178091535381
2024-02-10,高端装备,12.26291536843232
2024-02-18,传统能源,0.0
2024-02-18,化工,0.0
2024-02-18,医药,0.0
2024-02-18,半导体与信息技术,0.0
2024-02-18,房地产,0.0
2024-02-18,旅游,0.0
2024-02-18,消费,0.0
2024-02-18,电动车新能源,0.0
2024-02-18,金融,0.0
2024-02-18,高端装备,0.0
2024-02-19,传统能源,0.0
2024-02-19,化工,0.0
2024-02-19,医药,0.0
2024-02-19,半导体与信息技术,0.0
2024-02-19,房地产,0.0
2024-02-19,旅游,0.0
2024-02-19,消费,0.0
2024-02-19,电动车新能源,0.0
2024-02-19,金融,0.0
2024-02-19,高端装备,0.0
2024-02-20,传统能源,10.12576910659136
2024-02-20,化工,-7.695185521733949
2024-02-20,医药,-6.725648886254508
2024-02-20,半导体与信息技术,-5.779604646016316
2024-02-20,房地产,0.0
2024-02-20,旅游,-10.358219481933823
2024-02-20,消费,-8.717437292070214
2024-02-20,电动车新能源,-3.8046015482802495
2024-02-20,金融,-7.695185521733947
2024-02-20,高端装备,-7.695185521733949
2024-02-21,传统能源,-6.404098687559396
2024-02-21,化工,-1.6010246718898493
2024-02-21,医药,-2.6144623411579926
2024-02-21,半导体与信息技术,6.404098687559396
2024-02-21,房地产,3.921693511736989
2024-02-21,旅游,2.6144623411579926
2024-02-21,消费,1.6010246718898489
2024-02-21,电动车新能源,6.404098687559396
2024-02-21,金融,3.921693511736989
2024-02-21,高端装备,6.404098687559396
2024-02-22,传统能源,0.0
2024-02-22,化工,0.0
2024-02-22,医药,0.0
2024-02-22,半导体与信息技术,0.0
2024-02-22,房地产,0.0
2024-02-22,旅游,0.0
2024-02-22,消费,0.0
2024-02-22,电动车新能源,0.0
2024-02-22,金融,0.0
2024-02-22,高端装备,0.0
2024-02-23,传统能源,0.0
2024-02-23,化工,-4.440892098500626e-16
2024-02-23,医药,4.440892098500626e-16
2024-02-23,半导体与信息技术,-4.440892098500626e-16
2024-02-23,房地产,-4.440892098500626e-16
2024-02-23,旅游,1.1102230246251565e-16
2024-02-23,消费,1.1102230246251565e-16
2024-02-23,电动车新能源,4.440892098500626e-16
2024-02-23,金融,1.1102230246251565e-16
2024-02-23,高端装备,0.0
2024-02-24,传统能源,0.0
2024-02-24,化工,0.0
2024-02-24,医药,0.0
2024-02-24,半导体与信息技术,0.0
2024-02-24,房地产,0.0
2024-02-24,旅游,0.0
2024-02-24,消费,0.0
2024-02-24,电动车新能源,0.0
2024-02-24,金融,0.0
2024-02-24,高端装备,0.0
2024-02-27,传统能源,0.0
2024-02-27,化工,0.0
2024-02-27,医药,0.0
2024-02-27,半导体与信息技术,0.0
2024-02-27,房地产,0.0
2024-02-27,旅游,0.0
2024-02-27,消费,0.0
2024-02-27,电动车新能源,0.0
2024-02-27,金融,0.0
2024-02-27,高端装备,0.0
2024-02-28,传统能源,-3.58
2024-02-28,化工,-3.58
2024-02-28,医药,3.58
2024-02-28,半导体与信息技术,1.1102230246251565e-16
2024-02-28,房地产,1.1102230246251565e-16
2024-02-28,旅游,3.58
2024-02-28,消费,3.58
2024-02-28,电动车新能源,1.1102230246251565e-16
2024-02-28,金融,3.58
2024-02-28,高端装备,3.58
2024-02-29,传统能源,-13.090973116726548
2024-02-29,化工,4.62835793158407
2024-02-29,医药,5.454572131969398
2024-02-29,半导体与信息技术,10.809515288819423
2024-02-29,房地产,5.740771476278878
2024-02-29,旅游,6.1711439087787525
2024-02-29,消费,6.89954863948153
2024-02-29,电动车新能源,15.427859771946892
2024-02-29,金融,3.165730029004582
2024-02-29,高端装备,0.0
2024-03-01,传统能源,0.0
2024-03-01,化工,-1.6010246718898493
2024-03-01,医药,6.404098687559397
2024-03-01,半导体与信息技术,6.404098687559397
2024-03-01,房地产,3.9216935117369895
2024-03-01,旅游,1.6010246718898486
2024-03-01,消费,1.6010246718898486
2024-03-01,电动车新能源,3.9216935117369895
2024-03-01,金融,1.6010246718898486
