period,industry,S_adjusted
2024-01-01,传统能源,-6.223665229500129
2024-01-01,化工,7.200368012008689
2024-01-01,医药,0.0
2024-01-01,半导体与信息技术,8.722652137822552
2024-01-01,房地产,-4.92023937990374
2024-01-01,旅游,-1.5859367523313752
2024-01-01,消费,-4.6491892107614134
2024-01-01,电动车新能源,8.722652137822553
2024-01-01,金融,4.31533540505482
2024-01-01,高端装备,7.7795815368751615
2024-01-08,传统能源,-8.462649067147746
2024-01-08,化工,23.208780908146935
2024-01-08,医药,1.5852115550388164
2024-01-08,半导体与信息技术,35.9402103343094
2024-01-08,房地产,13.230416919003812
2024-01-08,旅游,31.623353982375818
2024-01-08,消费,17.745515007736632
2024-01-08,电动车新能源,25.147804636074802
2024-01-08,金融,23.85412190330272
2024-01-08,高端装备,24.995393698886446
2024-01-15,传统能源,-14.137292848605108
2024-01-15,化工,-6.876154474724057
2024-01-15,医药,-14.510654319950682
2024-01-15,半导体与信息技术,2.1951989450817546
2024-01-15,房地产,-3.1407868592106483
2024-01-15,旅游,-3.6943600455348946
2024-01-15,消费,-4.617026374529761
2024-01-15,电动车新能源,11.951638701000686
2024-01-15,金融,7.911301516681078
2024-01-15,高端装备,14.158607763233753
2024-01-22,传统能源,2.886579864025407e-15
2024-01-22,化工,-5.515554827480642
2024-01-22,医药,-7.16
2024-01-22,半导体与信息技术,3.3306690738754696e-16
2024-01-22,房地产,-1.171830070567279
2024-01-22,旅游,4.212574582768195
2024-01-22,消费,-12.35055344880558
2024-01-22,电动车新能源,-1.4132802407735863
2024-01-22,金融,-11.051368826583273
2024-01-22,高端装备,-4.212574582768195
2024-01-29,传统能源,2.8603352512180527
2024-01-29,化工,19.77563794783003
2024-01-29,医药,21.473548580722493
2024-01-29,半导体与信息技术,14.250250194140847
2024-01-29,房地产,1.3128536961848392
2024-01-29,旅游,27.419738601963367
2024-01-29,消费,9.594622954566145
2024-01-29,电动车新能源,4.628357931584068
2024-01-29,金融,11.95036879287473
2024-01-29,高端装备,17.05332129741088
2024-02-05,传统能源,-13.733930215124705
2024-02-05,化工,11.378139499063016
2024-02-05,医药,2.6444152448825964
2024-02-05,半导体与信息技术,23.831169598145724
2024-02-05,房地产,18.943457352845506
2024-02-05,旅游,7.956832053358849
2024-02-05,消费,-4.334475432244055
2024-02-05,电动车新能源,28.174090309586347
2024-02-05,金融,9.835820845097725
2024-02-05,高端装备,16.68661175577929
2024-02-12,传统能源,0.0
2024-02-12,化工,0.0
2024-02-12,医药,0.0
2024-02-12,半导体与信息技术,0.0
2024-02-12,房地产,0.0
2024-02-12,旅游,0.0
2024-02-12,消费,0.0
2024-02-12,电动车新能源,0.0
2024-02-12,金融,0.0
2024-02-12,高端装备,0.0
2024-02-19,传统能源,1.4037825596099647
2024-02-19,化工,-8.464704073907342
2024-02-19,医药,-7.825621684641496
2024-02-19,半导体与信息技术,0.48910135529009313
2024-02-19,房地产,2.2958554274102907
2024-02-19,旅游,-9.291219787041571
2024-02-19,消费,-8.774601427798206
2024-02-19,电动车新能源,5.795386704856162
2024-02-19,金融,-5.431896121970311
2024-02-19,高端装备,-2.2173807732561723
2024-02-26,传统能源,-26.385699860774142
2024-02-26,化工,-5.3489410953465635
2024-02-26,医药,14.452043009306923
2024-02-26,半导体与信息技术,7.8608750876004265
2024-02-26,房地产,5.740771476278882
2024-02-26,旅游,11.55995899126373
2024-02-26,消费,4.032543834161766
2024-02-26,电动车新能源,19.280857868298014
2024-02-26,金融,2.0296692200595543
2024-02-26,高端装备,-0.5240583391733695
2024-03-04,传统能源,-4.997741080637427
2024-03-04,化工,4.51133489357575
2024-03-04,医药,1.780936650623867
2024-03-04,半导体与信息技术,12.851334207353375
2024-03-04,房地产,6.697566722325355
2024-03-04,旅游,-0.24428927638012432
2024-03-04,消费,2.3648701674914205
2024-03-04,电动车新能源,-0.3233615684689606
2024-03-04,金融,6.3401018058932515
2024-03-04,高端装备,3.6099439409659855
2024-03-11,传统能源,-7.7230534017416925
2024-03-11,化工,11.567090490593666
2024-03-11,医药,2.9253990158112444
2024-03-11,半导体与信息技术,-2.9937463958253843
2024-03-11,房地产,4.486459685857046
2024-03-11,旅游,5.550554372867074
2024-03-11,消费,4.822013503041267
2024-03-11,电动车新能源,11.767001835221361
2024-03-11,金融,7.14920490716829
2024-03-11,高端装备,3.6527654180822084
2024-03-18,传统能源,-7.41067770289784
2024-03-18,化工,0.3592958015419047
2024-03-18,医药,5.013002700820283
2024-03-18,半导体与信息技术,7.164335124895771
2024-03-18,房地产,4.645531599298569
2024-03-18,旅游,2.9022647215275312
2024-03-18,消费,-8.469329046037535
2024-03-18,电动车新能源,1.9256781274651795
2024-03-18,金融,1.7102316159368456
2024-03-18,高端装备,4.363258797291875
2024-03-25,传统能源,-12.696261643421643
2024-03-25,化工,1.6603382804435967
2024-03-25,医药,2.0113629230153416
2024-03-25,半导体与信息技术,6.314526462407495
2024-03-25,房地产,12.995914205187834
2024-03-25,旅游,12.470450122695096
2024-03-25,消费,7.443171769004525
2024-03-25,电动车新能源,11.981035977001968
2024-03-25,金融,11.227754131574732
2024-03-25,高端装备,6.563333333333331
2024-04-01,传统能源,-14.881780538631796
2024-04-01,化工,-12.765263338235064
2024-04-01,医药,-0.5036719600086637
2024-04-01,半导体与信息技术,5.727999999999998
2024-04-01,房地产,-9.282931276860184
2024-04-01,旅游,4.805152818630183
2024-04-01,消费,0.584611551944251
2024-04-01,电动车新能源,11.161335403973847
2024-04-01,金融,6.562248395176766
2024-04-01,高端装备,9.327649589105652
2024-04-08,传统能源,-0.6191267020418746
2024-04-08,化工,-5.117197248400111
2024-04-08,医药,15.087626605534151
2024-04-08,半导体与信息技术,6.7784989097327335
2024-04-08,房地产,8.761343358988977
2024-04-08,旅游,2.606566898077249
2024-04-08,消费,5.290712641895159
2024-04-08,电动车新能源,13.511172809075152
2024-04-08,金融,10.597742063388091
2024-04-08,高端装备,-7.1716567679199414
2024-04-15,传统能源,8.664050378656658
2024-04-15,化工,2.692445328740404
2024-04-15,医药,1.3240411688595684
2024-04-15,半导体与信息技术,3.134430969868902
2024-04-15,房地产,3.927740845339485
2024-04-15,旅游,9.936485704118342
2024-04-15,消费,5.8257811429821125
2024-04-15,电动车新能源,3.134430969868902
2024-04-15,金融,6.770573741055388
2024-04-15,高端装备,1.3240411688595684
2024-04-22,传统能源,7.802429108937805
2024-04-22,化工,-1.5059744421310206
2024-04-22,医药,-0.47129031784790065
2024-04-22,半导体与信息技术,-5.80663334206929
2024-04-22,房地产,-4.065456512076313
2024-04-22,旅游,7.402506293543235
2024-04-22,消费,0.5124386656500408
2024-04-22,电动车新能源,0.5889674193727688
2024-04-22,金融,1.6579106507144776
2024-04-22,高端装备,3.263046240743577
2024-04-29,传统能源,-8.005123359449248
2024-04-29,化工,-8.897197179283975
2024-04-29,医药,9.299037390264768
2024-04-29,半导体与信息技术,4.076009304681705
2024-04-29,房地产,7.488107237479975
2024-04-29,旅游,-7.059855207832207
2024-04-29,消费,4.278918421417126
2024-04-29,电动车新能源,10.508007203300506
2024-04-29,金融,-1.1784625551149515
2024-04-29,高端装备,3.5799999999999943
2024-05-06,传统能源,13.977800176629287
2024-05-06,化工,1.2828529689882329
2024-05-06,医药,0.40227258460306814
2024-05-06,半导体与信息技术,1.4289868894731468
2024-05-06,房地产,-0.8206914977837503
