industry,period,S_adjusted,M,return
传统能源,2024-01-07,-6.223665229500129,0.7005011886840233,0.043790954131372795
化工,2024-01-07,7.200368012008689,0.7005011886840233,-0.02498300475866766
医药,2024-01-07,0.0,0.7005011886840233,-0.04349939246658563
半导体与信息技术,2024-01-07,8.722652137822552,0.7005011886840233,-0.06662848415425737
房地产,2024-01-07,-4.92023937990374,0.7005011886840233,-0.030071599045345954
旅游,2024-01-07,-1.5859367523313752,0.7005011886840233,-0.014571428571428569
消费,2024-01-07,-4.649189210761413,0.7005011886840233,-0.04678362573099415
电动车新能源,2024-01-07,8.722652137822553,0.7005011886840233,-0.05066689036154681
金融,2024-01-07,4.31533540505482,0.7005011886840233,-0.007903888713246876
高端装备,2024-01-07,7.7795815368751615,0.7005011886840233,-0.04298903635314488
传统能源,2024-01-14,-8.462649067147746,0.6955511621351924,-0.017838003368550015
化工,2024-01-14,23.20878090814693,0.6955511621351924,-0.02056824124106682
医药,2024-01-14,1.5852115550388164,0.6955511621351924,-0.022357723577235866
半导体与信息技术,2024-01-14,35.9402103343094,0.6955511621351924,-0.04479443649007975
房地产,2024-01-14,13.230416919003812,0.6955511621351924,-0.011389201349831457
旅游,2024-01-14,31.623353982375814,0.6955511621351924,0.020150768338648817
消费,2024-01-14,17.745515007736632,0.6955511621351924,-0.007484662576687118
电动车新能源,2024-01-14,25.1478046360748,0.6955511621351924,0.016700539012105775
金融,2024-01-14,23.85412190330272,0.6955511621351924,-0.018483110261312885
高端装备,2024-01-14,24.99539369888645,0.6955511621351924,0.011003919204100043
传统能源,2024-01-21,-14.137292848605108,0.7299100097171489,-0.018317873567698095
化工,2024-01-21,-6.876154474724057,0.7299100097171489,-0.035593521978999676
医药,2024-01-21,-14.510654319950682,0.7299100097171489,-0.007276507276507194
半导体与信息技术,2024-01-21,2.1951989450817546,0.7299100097171489,-0.018201284796573902
房地产,2024-01-21,-3.1407868592106483,0.7299100097171489,-0.03335229697055886
旅游,2024-01-21,-3.694360045534895,0.7299100097171489,0.027000142106011094
消费,2024-01-21,-4.617026374529761,0.7299100097171489,-0.015823958462108934
电动车新能源,2024-01-21,11.951638701000686,0.7299100097171489,-0.03685033895358947
金融,2024-01-21,7.911301516681078,0.7299100097171489,0.014285714285714235
高端装备,2024-01-21,14.158607763233752,0.7299100097171489,-0.02430296704935142
传统能源,2024-01-28,2.886579864025407e-15,0.8254358407871232,0.07995871049706205
化工,2024-01-28,-5.515554827480642,0.8254358407871232,0.002398966599003405
医药,2024-01-28,-7.16,0.8254358407871232,-0.024607329842932013
半导体与信息技术,2024-01-28,3.3306690738754696e-16,0.8254358407871232,-0.018538713195201728
房地产,2024-01-28,-1.171830070567279,0.8254358407871232,0.08835430000735678
旅游,2024-01-28,4.212574582768195,0.8254358407871232,0.004289470042894594
消费,2024-01-28,-12.35055344880558,0.8254358407871232,-0.001632960683331297
电动车新能源,2024-01-28,-1.4132802407735865,0.8254358407871232,-0.040696625157913835
金融,2024-01-28,-11.051368826583271,0.8254358407871232,0.05132309005548441
高端装备,2024-01-28,-4.212574582768195,0.8254358407871232,-0.006112469437652868
