period,M
2024-01-01,0.6948386740090445
2024-01-16,0.7982798112789754
2024-02-01,-0.41184605419376896
2024-02-16,-0.34999626331328737
2024-03-01,-0.0028500184246469033
2024-03-16,-0.1959393388107701
2024-04-01,-0.772440048607268
2024-04-16,-0.6415979764853519
2024-05-01,-0.34780916500088055
2024-05-16,-0.4679673088444806
2024-06-01,-1.1470118044293554
2024-06-16,-1.2365088823155233
2024-07-01,-0.13689901468774324
2024-07-16,-0.0013352543676267055
2024-08-01,-0.37564839668402467
2024-08-16,-0.5004997661127336
2024-09-01,-0.41893730354533043
2024-09-16,-0.04064640055091451
2024-10-01,1.3657675931939977
2024-10-16,1.5162146053161571
2024-11-01,0.43735815641235365
2024-11-16,0.14322261015167434
2024-12-01,0.971599791869161
2024-12-16,0.7955203466448123
