period,M
2024-01-02,0.742225051592782
2024-01-03,0.675279313673183
2024-01-04,0.6904109455634826
2024-01-05,0.6940894439066461
2024-01-08,0.7185515421846873
2024-01-09,0.7097732258087261
2024-01-10,0.7077071736981035
2024-01-11,0.6720962411173583
2024-01-12,0.6696276278670866
2024-01-15,0.6686261746783893
2024-01-16,0.6762546587728318
2024-01-17,0.7598495874732873
2024-01-18,0.7827005201384104
2024-01-19,0.7621191075228257
2024-01-22,0.7965976883950773
2024-01-23,0.7984153760353558
2024-01-24,0.8322703295222363
2024-01-25,0.8961065751254166
2024-01-26,0.8037892348575302
2024-01-29,0.8064793000563363
2024-01-30,0.8284168005112998
2024-01-31,0.8363585569370965
2024-02-01,-0.5111574941035726
2024-02-02,-0.49716556580087923
2024-02-05,-0.5064722647530009
2024-02-06,-0.3235301438845871
2024-02-07,-0.31683970191482413
2024-02-08,-0.31591115470574993
2024-02-19,-0.30586887510200755
2024-02-20,-0.30700936695149716
2024-02-21,-0.29237050862589076
2024-02-22,-0.37222136998270217
2024-02-23,-0.38700198992201934
2024-02-26,-0.3642541575254217
2024-02-27,-0.40597742045973484
2024-02-28,-0.3668681213904335
2024-02-29,-0.34839455985987966
2024-03-01,0.13142963241603434
2024-03-04,0.1273707206601379
2024-03-05,0.10651806318161494
2024-03-06,0.04232858565570356
2024-03-07,0.029948855707292346
2024-03-08,0.027274089622575742
2024-03-11,-0.0149775535482886
2024-03-12,-0.012629214111571481
2024-03-13,-0.15591192781141397
2024-03-14,-0.15529999578987597
2024-03-15,-0.15740145865332475
2024-03-18,-0.1644024800158383
2024-03-19,-0.14385822656513764
2024-03-20,-0.17142641311811732
2024-03-21,-0.18052567078285509
2024-03-22,-0.15339141611893564
2024-03-25,-0.17254181482898667
2024-03-26,-0.19619650733139246
2024-03-27,-0.2032371531700449
2024-03-28,-0.2847145771589251
2024-03-29,-0.28909912901746804
2024-04-01,-0.7709296535008602
2024-04-02,-0.7756681231251047
2024-04-03,-0.7765771160694429
2024-04-08,-0.7663579463412828
2024-04-09,-0.7706477071748643
2024-04-10,-0.799619391385586
2024-04-11,-0.8024805413638731
2024-04-12,-0.7989215383240829
2024-04-15,-0.6907584201803147
2024-04-16,-0.6707202565089371
2024-04-17,-0.6394573503490824
2024-04-18,-0.6482594432241305
2024-04-19,-0.6383836918852959
2024-04-22,-0.6373229136583953
2024-04-23,-0.646806464043847
2024-04-24,-0.6477801894859537
2024-04-25,-0.6517740899113974
2024-04-26,-0.6377530461728403
2024-04-29,-0.6226376071665575
2024-04-30,-0.616682688932433
2024-05-06,-0.34040591236679696
2024-05-07,-0.3453811736685276
2024-05-08,-0.33452231389709974
2024-05-09,-0.3416400929329956
2024-05-10,-0.34263613752061856
2024-05-13,-0.3614793479058521
2024-05-14,-0.358952259235103
