period,M
2024-01-01,0.7005011886840233
2024-01-08,0.6955511621351924
2024-01-15,0.7299100097171489
2024-01-22,0.8254358407871232
2024-01-29,0.29258631952005615
2024-02-05,-0.3656883163145405
2024-02-19,-0.3328944221168234
2024-02-26,-0.27081292536388707
2024-03-04,0.0666880629654649
2024-03-11,-0.09924402998289496
2024-03-18,-0.16272084132017678
2024-03-25,-0.22915783630136347
2024-04-01,-0.7743916308984692
2024-04-08,-0.7876054249179378
2024-04-15,-0.6575158324295521
2024-04-22,-0.6442873406544868
2024-04-29,-0.6196601480494952
2024-05-06,-0.3409171260772077
2024-05-13,-0.3926331934674735
2024-05-20,-0.4822735896900193
2024-05-27,-0.46379229599346183
2024-06-03,-1.1457030677586726
2024-06-10,-1.1486477252677092
2024-06-17,-1.201589730547666
2024-06-24,-1.2714280340833803
2024-07-01,-0.16822931579822584
2024-07-08,-0.1162891847667348
2024-07-15,-0.07828957237677359
2024-07-22,0.015486863390897216
2024-07-29,-0.097466093792331
2024-08-05,-0.36716949627088774
2024-08-12,-0.397938935227807
2024-08-19,-0.4581114071587275
2024-08-26,-0.5639012589476173
2024-09-02,-0.42752467300282404
2024-09-09,-0.41034993408783665
2024-09-16,-0.42233704599356514
2024-09-23,0.013268048239322238
2024-09-30,0.8348532918258538
2024-10-07,1.3108611131068653
2024-10-14,1.4982948527195665
2024-10-21,1.5296386000676356
2024-10-28,1.4805653912581362
2024-11-04,0.5222266341791104
2024-11-11,0.16060973998881134
2024-11-18,0.091406860049617
2024-11-25,0.1950383602537317
2024-12-02,1.0245459666516807
2024-12-09,0.9186536170866413
2024-12-16,0.8960794214972829
2024-12-23,0.7310317289456326
2024-12-30,0.7053442037615849
