日期,标题,发文机关,机关层级,主题分类,发文字号,所属公报号码,影响行业,情感倾向,情感置信度
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,化工,正面,0.75
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,传统能源,中性,0.7
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,金融,正面,0.75
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,医药,正面,0.75
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,消费,中性,0.7
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,房地产,中性,0.7
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,电动车新能源,正面,0.75
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,高端装备,正面,0.85
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,旅游,中性,0.7
2024/1/16,两部委关于印发《制造业中试创新发展实施意见》的通知,工业和信息化部 国家发展改革委,国务院部门,工业、交通&其他,工信部联科〔2024〕11号,,半导体与信息技术,正面,0.75
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,化工,中性,0.7
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,传统能源,中性,0.75
2024/1/12,中华人民共和国档案法实施条例,国务院,国务院,综合政务&文秘工作,国令第772号,,金融,中性,0.75
