影响行业,机关层级,ret_1d,ret_3d,ret_5d
电动车新能源,国务院,0.57459,-0.224508,-0.036557
电动车新能源,国务院部门,0.173345,-0.080439,0.084899
高端装备,国务院,0.50418,-0.097459,-0.020082
高端装备,国务院部门,0.179628,-0.042872,0.089595
房地产,国务院,0.207295,-0.306148,-0.051885
房地产,国务院部门,0.018784,-0.021892,0.139966
传统能源,国务院,0.123279,0.291803,0.150492
传统能源,国务院部门,0.081351,0.0675,0.113108
半导体与信息技术,国务院,0.54541,-0.209016,-0.067295
半导体与信息技术,国务院部门,0.256791,-0.011486,0.205372
金融,国务院,0.198607,0.047377,0.260328
金融,国务院部门,0.203615,0.106081,0.197061
医药,国务院,0.377459,-0.232623,-0.03959
医药,国务院部门,0.110101,-0.151419,-0.014459
旅游,国务院,0.244918,-0.192787,0.001066
旅游,国务院部门,0.035338,-0.074189,0.055541
化工,国务院,0.326967,-0.11877,0.106639
化工,国务院部门,0.044358,-0.036926,0.121791
消费,国务院,0.231475,-0.071393,0.083279
消费,国务院部门,0.036757,-0.059899,0.062095
