period,industry,weight
2024-01-01,传统能源,0.28893644
2024-01-16,传统能源,0.29363844
2024-02-01,传统能源,0.028259676
2024-02-16,传统能源,0.26065546
2024-03-01,传统能源,0.051588755
2024-03-16,传统能源,0.3257316
2024-04-01,传统能源,0.2745237
2024-04-16,传统能源,0.07021939
2024-05-01,传统能源,0.016627694
2024-05-16,传统能源,0.18198718
2024-06-01,传统能源,0.20959496
2024-06-16,传统能源,0.2814494
2024-07-01,传统能源,0.03185053
2024-07-16,传统能源,0.031708315
2024-08-01,传统能源,0.20116395
2024-08-16,传统能源,0.33178055
2024-09-01,传统能源,0.022090964
2024-09-16,传统能源,0.033063643
2024-10-01,传统能源,0.05890122
2024-10-16,传统能源,0.24972177
2024-11-01,传统能源,0.22037978
2024-11-16,传统能源,0.29342574
2024-12-01,传统能源,0.2228185
2024-01-01,化工,0.031526923
2024-01-16,化工,0.024882883
2024-02-01,化工,0.25196135
2024-02-16,化工,0.026731519
2024-03-01,化工,0.040798757
2024-03-16,化工,0.276749
2024-04-01,化工,0.30424932
2024-04-16,化工,0.025457991
2024-05-01,化工,0.2434148
2024-05-16,化工,0.014794755
2024-06-01,化工,0.038638927
2024-06-16,化工,0.021193491
2024-07-01,化工,0.057867628
2024-07-16,化工,0.006957653
2024-08-01,化工,0.0856692
2024-08-16,化工,0.30225623
2024-09-01,化工,0.016475582
2024-09-16,化工,0.022831047
2024-10-01,化工,0.041553546
2024-10-16,化工,0.23584752
2024-11-01,化工,0.047721915
2024-11-16,化工,0.07815405
2024-12-01,化工,0.03598266
2024-01-01,医药,0.02592294
2024-01-16,医药,0.0076389387
2024-02-01,医药,0.2421777
2024-02-16,医药,0.0500916
2024-03-01,医药,0.0047226427
2024-03-16,医药,0.005934468
2024-04-01,医药,0.07524613
2024-04-16,医药,0.34208763
2024-05-01,医药,0.09555692
2024-05-16,医药,0.1018523
2024-06-01,医药,0.28173816
2024-06-16,医药,0.004596222
2024-07-01,医药,0.036846194
2024-07-16,医药,0.30620024
2024-08-01,医药,0.2046513
2024-08-16,医药,0.0028115744
2024-09-01,医药,0.116390005
2024-09-16,医药,0.13202865
2024-10-01,医药,0.4909093
2024-10-16,医药,0.0010844793
2024-11-01,医药,0.2670598
2024-11-16,医药,0.29342574
2024-12-01,医药,0.14679554
2024-01-01,半导体与信息技术,0.045563586
2024-01-16,半导体与信息技术,0.0014481152
2024-02-01,半导体与信息技术,0.1676113
2024-02-16,半导体与信息技术,0.19739771
2024-03-01,半导体与信息技术,0.27689633
2024-03-16,半导体与信息技术,0.006022044
