period,industry,weight
2024-01-02,传统能源,0.110960424
2024-01-02,化工,0.110960424
2024-01-02,医药,0.056158338
2024-01-02,半导体与信息技术,0.110960424
2024-01-02,房地产,0.110960424
2024-01-02,旅游,0.110960424
2024-01-02,消费,0.056158338
2024-01-02,电动车新能源,0.110960424
2024-01-02,金融,0.110960424
2024-01-02,高端装备,0.110960424
2024-01-03,传统能源,0.12696055
2024-01-03,化工,0.11118254
2024-01-03,医药,0.029964795
2024-01-03,半导体与信息技术,0.029964795
2024-01-03,房地产,0.11118254
2024-01-03,旅游,0.1285986
2024-01-03,消费,0.1285986
2024-01-03,电动车新能源,0.11118254
2024-01-03,金融,0.11118254
2024-01-03,高端装备,0.11118254
2024-01-04,传统能源,0.10000001
2024-01-04,化工,0.10000001
2024-01-04,医药,0.10000001
2024-01-04,半导体与信息技术,0.10000001
2024-01-04,房地产,0.10000001
2024-01-04,旅游,0.10000001
2024-01-04,消费,0.10000001
2024-01-04,电动车新能源,0.10000001
2024-01-04,金融,0.10000001
2024-01-04,高端装备,0.10000001
2024-01-05,传统能源,0.323617
2024-01-05,化工,0.061007358
2024-01-05,医药,0.061007358
2024-01-05,半导体与信息技术,0.061007358
2024-01-05,房地产,0.061007358
2024-01-05,旅游,0.061007358
2024-01-05,消费,0.12466577
2024-01-05,电动车新能源,0.061007358
2024-01-05,金融,0.12466577
2024-01-05,高端装备,0.061007358
2024-01-07,传统能源,0.1
2024-01-07,化工,0.1
2024-01-07,医药,0.1
2024-01-07,半导体与信息技术,0.1
2024-01-07,房地产,0.1
2024-01-07,旅游,0.1
2024-01-07,消费,0.1
2024-01-07,电动车新能源,0.1
2024-01-07,金融,0.1
2024-01-07,高端装备,0.1
2024-01-08,传统能源,0.1
2024-01-08,化工,0.1
2024-01-08,医药,0.1
2024-01-08,半导体与信息技术,0.1
2024-01-08,房地产,0.1
2024-01-08,旅游,0.1
2024-01-08,消费,0.1
2024-01-08,电动车新能源,0.1
2024-01-08,金融,0.1
2024-01-08,高端装备,0.1
2024-01-09,传统能源,0.064650044
2024-01-09,化工,0.11360089
2024-01-09,医药,0.11360089
2024-01-09,半导体与信息技术,0.095845565
2024-01-09,房地产,0.095845565
2024-01-09,旅游,0.10558253
2024-01-09,消费,0.10558253
2024-01-09,电动车新能源,0.11360089
2024-01-09,金融,0.095845565
2024-01-09,高端装备,0.095845565
2024-01-10,传统能源,0.049209673
2024-01-10,化工,0.12416881
2024-01-10,医药,0.043057006
2024-01-10,半导体与信息技术,0.100355
2024-01-10,房地产,0.062021658
2024-01-10,旅游,0.09405686
2024-01-10,消费,0.09405686
2024-01-10,电动车新能源,0.12416881
2024-01-10,金融,0.09405686
2024-01-10,高端装备,0.21484843
2024-01-11,传统能源,0.072726086
2024-01-11,化工,0.111688815
2024-01-11,医药,0.111688815
2024-01-11,半导体与信息技术,0.111688815
2024-01-11,房地产,0.111688815
2024-01-11,旅游,0.072726086
2024-01-11,消费,0.072726086
2024-01-11,电动车新能源,0.111688815
2024-01-11,金融,0.111688815
2024-01-11,高端装备,0.111688815
2024-01-12,传统能源,0.14219403
2024-01-12,化工,0.03667799
2024-01-12,医药,0.03667799
2024-01-12,半导体与信息技术,0.08131946
2024-01-12,房地产,0.14219403
2024-01-12,旅游,0.09877174
2024-01-12,消费,0.09877174
2024-01-12,电动车新能源,0.03667799
2024-01-12,金融,0.09877174
2024-01-12,高端装备,0.2279433
2024-01-13,传统能源,0.26155624
2024-01-13,化工,0.09332748
2024-01-13,医药,0.09332748
2024-01-13,半导体与信息技术,0.09332748
2024-01-13,房地产,0.09332748
2024-01-13,旅游,0.09332748
2024-01-13,消费,0.13883707
2024-01-13,电动车新能源,0.09332748
2024-01-13,金融,0.019820929
2024-01-13,高端装备,0.019820929
2024-01-14,传统能源,0.1
2024-01-14,化工,0.1
2024-01-14,医药,0.1
2024-01-14,半导体与信息技术,0.1
2024-01-14,房地产,0.1
2024-01-14,旅游,0.1
2024-01-14,消费,0.1
2024-01-14,电动车新能源,0.1
2024-01-14,金融,0.1
2024-01-14,高端装备,0.1
2024-01-15,传统能源,0.29651046
2024-01-15,化工,0.0747476
2024-01-15,医药,0.10550873
2024-01-15,半导体与信息技术,0.0747476
2024-01-15,房地产,0.0747476
2024-01-15,旅游,0.0747476
2024-01-15,消费,0.0747476
2024-01-15,电动车新能源,0.0747476
2024-01-15,金融,0.0747476
2024-01-15,高端装备,0.0747476
2024-01-16,传统能源,0.10000001
2024-01-16,化工,0.10000001
2024-01-16,医药,0.10000001
2024-01-16,半导体与信息技术,0.10000001
2024-01-16,房地产,0.10000001
2024-01-16,旅游,0.10000001
2024-01-16,消费,0.10000001
2024-01-16,电动车新能源,0.10000001
2024-01-16,金融,0.10000001
2024-01-16,高端装备,0.10000001
2024-01-17,传统能源,0.1
2024-01-17,化工,0.1
2024-01-17,医药,0.1
2024-01-17,半导体与信息技术,0.1
2024-01-17,房地产,0.1
2024-01-17,旅游,0.1
2024-01-17,消费,0.1
2024-01-17,电动车新能源,0.1
2024-01-17,金融,0.1
2024-01-17,高端装备,0.1
2024-01-18,传统能源,0.16108555
2024-01-18,化工,0.11937431
2024-01-18,医药,0.16108555
2024-01-18,半导体与信息技术,0.17313977
2024-01-18,房地产,0.04001074
2024-01-18,旅游,0.027775042
2024-01-18,消费,0.051005337
2024-01-18,电动车新能源,0.11937431
2024-01-18,金融,0.027775042
2024-01-18,高端装备,0.11937431
2024-01-19,传统能源,0.054134578
2024-01-19,化工,0.060844656
2024-01-19,医药,0.09932174
2024-01-19,半导体与信息技术,0.014475994
2024-01-19,房地产,0.006140894
2024-01-19,旅游,0.18326125
2024-01-19,消费,0.18326125
2024-01-19,电动车新能源,0.03203726
2024-01-19,金融,0.18326125
2024-01-19,高端装备,0.18326125
2024-01-20,传统能源,0.16887161
2024-01-20,化工,0.15103164
2024-01-20,医药,0.14486766
2024-01-20,半导体与信息技术,0.012914774
2024-01-20,房地产,0.13400066
2024-01-20,旅游,0.13400066
2024-01-20,消费,0.15103164
2024-01-20,电动车新能源,0.0075306734
2024-01-20,金融,0.0075306734
2024-01-20,高端装备,0.088220075
2024-01-22,传统能源,0.24081798
2024-01-22,化工,0.041700855
2024-01-22,医药,0.11804022
2024-01-22,半导体与信息技术,0.11804022
2024-01-22,房地产,0.07207829
2024-01-22,旅游,0.044456992
2024-01-22,消费,0.09121637
2024-01-22,电动车新能源,0.09121637
2024-01-22,金融,0.09121637
2024-01-22,高端装备,0.09121637
2024-01-23,传统能源,0.1
2024-01-23,化工,0.1
2024-01-23,医药,0.1
2024-01-23,半导体与信息技术,0.1
2024-01-23,房地产,0.1
2024-01-23,旅游,0.1
2024-01-23,消费,0.1
2024-01-23,电动车新能源,0.1
2024-01-23,金融,0.1
2024-01-23,高端装备,0.1
2024-01-24,传统能源,0.22570424
2024-01-24,化工,0.07076246
2024-01-24,医药,0.022390751
2024-01-24,半导体与信息技术,0.022390751
2024-01-24,房地产,0.19299683
2024-01-24,旅游,0.039938632
2024-01-24,消费,0.039938632
