period,industry,weight
2024-01-01,传统能源,0.28581336
2024-01-01,化工,0.05776559
2024-01-01,医药,0.0107212635
2024-01-01,半导体与信息技术,0.088517636
2024-01-01,房地产,0.01243569
2024-01-01,旅游,0.13383053
2024-01-01,消费,0.0070846444
2024-01-01,电动车新能源,0.020014532
2024-01-01,金融,0.24998614
2024-01-01,高端装备,0.13383053
2024-02-01,传统能源,0.018917361
2024-02-01,化工,0.30195752
2024-02-01,医药,0.023344073
2024-02-01,半导体与信息技术,0.24009977
2024-02-01,房地产,0.021862112
2024-02-01,旅游,0.02502916
2024-02-01,消费,0.012229266
2024-02-01,电动车新能源,0.31488112
2024-02-01,金融,0.030405287
2024-02-01,高端装备,0.011274338
2024-03-01,传统能源,0.09217657
2024-03-01,化工,0.25471482
2024-03-01,医药,0.056204055
2024-03-01,半导体与信息技术,0.025369361
2024-03-01,房地产,0.025369361
2024-03-01,旅游,0.043222748
2024-03-01,消费,0.24159415
2024-03-01,电动车新能源,0.008772433
2024-03-01,金融,0.022425825
2024-03-01,高端装备,0.23015064
2024-04-01,传统能源,0.0910935
2024-04-01,化工,0.22135137
2024-04-01,医药,0.024574464
2024-04-01,半导体与信息技术,0.0061192964
2024-04-01,房地产,0.075164676
2024-04-01,旅游,0.024574464
2024-04-01,消费,0.23165049
2024-04-01,电动车新能源,0.038279723
2024-04-01,金融,0.26469982
2024-04-01,高端装备,0.022492249
2024-05-01,传统能源,0.29016554
2024-05-01,化工,0.016259281
2024-05-01,医药,0.012643411
2024-05-01,半导体与信息技术,0.038721524
2024-05-01,房地产,0.23700456
2024-05-01,旅游,0.073424526
2024-05-01,消费,0.03242193
2024-05-01,电动车新能源,0.033786885
2024-05-01,金融,0.25292897
2024-05-01,高端装备,0.012643411
2024-06-01,传统能源,0.24043821
2024-06-01,化工,0.012263933
2024-06-01,医药,0.006585895
2024-06-01,半导体与信息技术,0.29949152
2024-06-01,房地产,0.08025981
2024-06-01,旅游,0.023754604
2024-06-01,消费,0.0031285372
2024-06-01,电动车新能源,0.03463029
2024-06-01,金融,0.29286128
2024-06-01,高端装备,0.006585895
2024-07-01,传统能源,0.03861057
2024-07-01,化工,0.014971468
2024-07-01,医药,0.05809605
2024-07-01,半导体与信息技术,0.11408985
2024-07-01,房地产,0.20536108
2024-07-01,旅游,0.20006897
2024-07-01,消费,0.014547764
2024-07-01,电动车新能源,0.014547764
2024-07-01,金融,0.23046681
2024-07-01,高端装备,0.10923969
2024-08-01,传统能源,0.20837115
2024-08-01,化工,0.021427127
2024-08-01,医药,0.20484932
2024-08-01,半导体与信息技术,0.022325816
2024-08-01,房地产,0.06952936
2024-08-01,旅游,0.061763432
2024-08-01,消费,0.08846603
2024-08-01,电动车新能源,0.08668433
2024-08-01,金融,0.20975031
2024-08-01,高端装备,0.026833178
2024-09-01,传统能源,0.06601619
2024-09-01,化工,0.010214961
2024-09-01,医药,0.091596305
2024-09-01,半导体与信息技术,0.07923649
2024-09-01,房地产,0.23332639
2024-09-01,旅游,0.019447647
2024-09-01,消费,0.091596305
2024-09-01,电动车新能源,0.25078243
2024-09-01,金融,0.091596305
2024-09-01,高端装备,0.066187
2024-10-01,传统能源,0.08695877
2024-10-01,化工,0.129472
2024-10-01,医药,0.01026169
2024-10-01,半导体与信息技术,0.02898987
2024-10-01,房地产,0.08367005
2024-10-01,旅游,0.19384564
2024-10-01,消费,0.19005562
2024-10-01,电动车新能源,0.17367047
2024-10-01,金融,0.07408591
2024-10-01,高端装备,0.02898987
2024-11-01,传统能源,0.07601757
2024-11-01,化工,0.013008555
2024-11-01,医药,0.07601757
2024-11-01,半导体与信息技术,0.05663729
2024-11-01,房地产,0.18363309
2024-11-01,旅游,0.18363309
2024-11-01,消费,0.013008555
2024-11-01,电动车新能源,0.18363309
2024-11-01,金融,0.030778158
2024-11-01,高端装备,0.18363309
2024-12-01,传统能源,0.103830226
2024-12-01,化工,0.12310784
2024-12-01,医药,0.120700866
2024-12-01,半导体与信息技术,0.12310784
2024-12-01,房地产,0.12310784
2024-12-01,旅游,0.12310784
2024-12-01,消费,0.01841094
2024-12-01,电动车新能源,0.12310784
2024-12-01,金融,0.01841094
2024-12-01,高端装备,0.12310784
