period,industry,weight
2024-01-07,传统能源,0.23323815
2024-01-07,化工,0.025031708
2024-01-07,医药,0.050872445
2024-01-07,半导体与信息技术,0.016946498
2024-01-07,房地产,0.08153088
2024-01-07,旅游,0.2529751
2024-01-07,消费,0.06557236
2024-01-07,电动车新能源,0.016946498
2024-01-07,金融,0.21338809
2024-01-07,高端装备,0.043498322
2024-01-14,传统能源,0.02045743
2024-01-14,化工,0.006684335
2024-01-14,医药,0.016364606
2024-01-14,半导体与信息技术,0.1542007
2024-01-14,房地产,0.0010505603
2024-01-14,旅游,0.17776997
2024-01-14,消费,0.005368892
2024-01-14,电动车新能源,0.27053532
2024-01-14,金融,0.077032804
2024-01-14,高端装备,0.27053532
2024-01-21,传统能源,0.13646863
2024-01-21,化工,0.06490074
2024-01-21,医药,0.13646863
2024-01-21,半导体与信息技术,0.0140968915
2024-01-21,房地产,0.083595425
2024-01-21,旅游,0.23243392
2024-01-21,消费,0.07508634
2024-01-21,电动车新能源,0.035792306
2024-01-21,金融,0.220093
2024-01-21,高端装备,0.0010641044
2024-01-28,传统能源,0.13403611
2024-01-28,化工,0.051121905
2024-01-28,医药,0.02743921
2024-01-28,半导体与信息技术,0.073733024
2024-01-28,房地产,0.17057197
2024-01-28,旅游,0.10615563
2024-01-28,消费,0.12585112
2024-01-28,电动车新能源,0.082605444
2024-01-28,金融,0.20053919
2024-01-28,高端装备,0.027946368
2024-02-04,传统能源,0.20227061
2024-02-04,化工,0.034992717
2024-02-04,医药,0.006006654
2024-02-04,半导体与信息技术,0.0010868004
2024-02-04,房地产,0.039518774
2024-02-04,旅游,0.07152149
2024-02-04,消费,0.2198109
2024-02-04,电动车新能源,0.16539526
2024-02-04,金融,0.25384277
2024-02-04,高端装备,0.005554097
2024-02-11,传统能源,0.033406157
2024-02-11,化工,0.25489733
2024-02-11,医药,0.21636245
2024-02-11,半导体与信息技术,0.24962251
2024-02-11,房地产,0.11651395
2024-02-11,旅游,0.05453947
2024-02-11,消费,0.007604775
2024-02-11,电动车新能源,0.025796033
2024-02-11,金融,0.008446614
2024-02-11,高端装备,0.032810703
2024-02-18,传统能源,0.099999994
2024-02-18,化工,0.099999994
2024-02-18,医药,0.099999994
2024-02-18,半导体与信息技术,0.099999994
2024-02-18,房地产,0.099999994
2024-02-18,旅游,0.099999994
2024-02-18,消费,0.099999994
2024-02-18,电动车新能源,0.099999994
2024-02-18,金融,0.099999994
2024-02-18,高端装备,0.099999994
2024-02-25,传统能源,0.24676628
2024-02-25,化工,0.024265852
2024-02-25,医药,0.02126097
2024-02-25,半导体与信息技术,0.19827688
2024-02-25,房地产,0.060151827
2024-02-25,旅游,0.08343273
2024-02-25,消费,0.022137685
2024-02-25,电动车新能源,0.037590723
2024-02-25,金融,0.28603444
2024-02-25,高端装备,0.020082612
2024-03-03,传统能源,0.021778805
2024-03-03,化工,0.03971858
2024-03-03,医药,0.0030049
2024-03-03,半导体与信息技术,0.2188921
2024-03-03,房地产,0.03211685
2024-03-03,旅游,0.033036467
2024-03-03,消费,0.04059086
2024-03-03,电动车新能源,0.2671055
2024-03-03,金融,0.058260582
2024-03-03,高端装备,0.2854953
2024-03-10,传统能源,0.1666966
2024-03-10,化工,0.13855493
2024-03-10,医药,0.034306865
2024-03-10,半导体与信息技术,0.025263123
2024-03-10,房地产,0.11203854
2024-03-10,旅游,0.030467879
2024-03-10,消费,0.032612488
2024-03-10,电动车新能源,0.030467879
2024-03-10,金融,0.2124149
2024-03-10,高端装备,0.21717681
2024-03-17,传统能源,0.044595305
2024-03-17,化工,0.096430354
2024-03-17,医药,0.09933268
2024-03-17,半导体与信息技术,0.07701999
2024-03-17,房地产,0.12798701
2024-03-17,旅游,0.13293247
2024-03-17,消费,0.04415105
2024-03-17,电动车新能源,0.24297556
2024-03-17,金融,0.089070484
2024-03-17,高端装备,0.045505103
2024-03-24,传统能源,0.29408336
2024-03-24,化工,0.06627471
2024-03-24,医药,0.03281619
2024-03-24,半导体与信息技术,0.120002
2024-03-24,房地产,0.04439166
2024-03-24,旅游,0.053294733
2024-03-24,消费,0.24443506
2024-03-24,电动车新能源,0.04750841
2024-03-24,金融,0.04750841
2024-03-24,高端装备,0.049685434
2024-03-31,传统能源,0.24310564
2024-03-31,化工,0.23836571
2024-03-31,医药,0.065642715
2024-03-31,半导体与信息技术,0.10479501
2024-03-31,房地产,0.0030718585
2024-03-31,旅游,0.02835334
2024-03-31,消费,0.02845298
2024-03-31,电动车新能源,0.029455181
2024-03-31,金融,0.097356394
2024-03-31,高端装备,0.16140124
2024-04-07,传统能源,0.22780043
2024-04-07,化工,0.27400938
2024-04-07,医药,0.11712889
2024-04-07,半导体与信息技术,0.010988292
2024-04-07,房地产,0.016673947
2024-04-07,旅游,0.015446944
2024-04-07,消费,0.030228468
2024-04-07,电动车新能源,0.1883939
